_id;productDescription;batchesOfGoods[0].product.specialCharacteristics[0].specialCharacteristicType
019a4054-e452-7019-b35b-da460d40f6db;Coupe de rail Acier;
019a405b-4e59-727a-ace1-0dd3464f7754;Coupe de rail Acier;
019a4083-86c4-7a5a-8e01-9b7326932284;Pare-chocs avant;
019a411b-ee49-7478-82b0-dde1cdfa1daa;Combiné, compresseur,machine a douduire;
019a4121-3773-7176-91a0-db2c8f2be771;bar mobile;
019a4131-3b54-7568-a0c9-6e45c0be0787;Bouteilles en cartons;ALCOOL
019a4159-1099-7a9f-8d20-6e419cd0bcb8;machine à Clim;
019a417b-00dc-76e6-a005-9cc6302c4846;Aile voiture;
019a43a3-8ad0-7717-a009-1b496128708a;music;
019a43a9-58a5-7fc7-8e00-b933e5280f42;Aille de Vito démontions 130/80/15 cm;
019a43c8-645d-7613-9218-452b5b87ec24;Échelle;
019a43f7-30b6-7fca-8e64-077bba53b6bf;carreaux de faience;
019a4426-d931-795c-abc3-5126b61acf94;Présentoir;
019a442a-579d-72e6-ad28-6a3da624b640;MATERIEL AGICOLE;
019a442b-f62c-7bfc-af1d-1cdf859b29bd;Prélèvement biologique;
019a4446-0e08-7523-8bed-5e5764b2d1d6;Batterie (instrument) double grosse caisse;
019a4448-c6bc-708b-bad7-ac76eb3a7667;Pompe à chaleur;
019a4480-b8a1-75d0-b4f7-5f389f2856b0;machine à bois;
019a449f-9fb9-79db-b120-12282d39d9fd;Caisse de champagnes;ALCOOL
019a44a0-761b-7dd3-a9d1-231caf4b9d5d;Pergola;
019a44a1-07ae-71ab-9a94-b4a3b3fd9ba0;5 TABLES RABATTABLES 120 X 80;
019a44c5-5cde-7873-9ded-ea8ffaf716a7;produits artisanaux;
019a44f0-068a-7d48-a949-a3b1fc151326;5 TABLES RABATTABLES 120 X 80;
019a44fc-75ce-7236-9f15-004db37336f7;Fly caisse;
019a451d-9623-7664-a8ab-ffb4440ecd5a;tapis de course;
019a4528-6114-79a2-8b09-46001e8a08ef;Tv;
019a456d-2401-7953-97e7-9e080532e619;Piano cuisine;
019a456f-c5fe-74f3-8d24-432ad48e00bc;Piano cuisine;
019a4572-4ad8-791f-923a-c287c94cf2d4;Piano cuisine;
019a4576-a2c1-7355-a47b-fa7f63ea2c6a;Rack acier;
019a457e-813b-726f-b9b7-085266521083;cercueil;HAZARDOUS
019a4583-4564-7fa4-9565-10530e7f844b;Meuble;
019a4599-e31e-7d0d-9a07-af9156265c1e;velo;
019a45b2-f321-7101-8bb1-09134bb14d27;Carrelage;
019a45c0-6d9b-781c-9d4f-aa24d7376866;Calendrier de l'avent en bois;
019a45c5-7f49-72f9-bdd3-5c93905fef1e;piece de tracteur agricole;
019a45d5-a375-794c-8a15-d23f3279a3b4;Sac de granulat de marbre;
019a45de-d64d-71f3-8091-856abf132772;parechoc;
019a45e5-92fb-723c-affc-76f2504834ca;Spices;
019a4624-261c-7536-9557-e00665afd174;Capteurs (électroniques);
019a462f-d3e5-7f2f-a286-9a632c1cd497;Grillages enrou,és;
019a464d-d0d1-7913-aafb-ec7d3a60e916;tableau;
019a4656-9f33-7650-8c12-d1cb40151d6b;CUBE BOIS;
019a467b-cc68-7e33-b3cd-3b77e3261fc9;Bâche semi remorque;
019a4779-c2cd-7965-93d0-bc43371d92c1;Porte de contention métallique;
019a47bd-510e-744f-9a70-7f2fb2f08aa9;Voile de planche à voile;
019a4855-dd31-7466-8934-6972df7aa748;Cornadis agricoles;
019a4886-aba5-705a-bbff-5ee8dc5a9960;Vin pétillant;ALCOOL
019a488f-5a90-7e2f-a580-5309252a1203;groupe electrogene;
019a4893-5b97-730a-84e2-ee7669731bd1;Magic trick for magic show;
019a48a4-e613-7149-9592-ba7a8a10199d;balancing machine;
019a48a9-ad05-77c7-b606-0a19526e03c6;Pièces mécaniques;
019a48b6-e8dd-7452-bb0c-30a4c61e3751;balancing machine;
019a48b7-9971-7811-ae9c-7558ab50e8d3;balancing machine;
019a48c7-3c12-7b2e-a2c2-2ae4250ef74e;Pèces remorques;
019a48c7-e38d-7700-8c13-d999ce0ebe2f;BOUTEILLES;ALCOOL
019a48ce-5565-7692-aedb-3146e0f5396f;échantillon d'huile;
019a48d2-21d0-7c1f-89c2-89aafe177ebe;coffre;HAZARDOUS
019a48d3-0860-7f56-8a0f-db5b10269f30;coffre;HAZARDOUS
019a48d5-abba-7418-86ff-44e0f34955aa;Filtres Galva / Inox;
019a48d8-dd99-7fca-85cc-43eb9b3ae851;latte;
019a48db-a6b3-7796-a282-cdf37ecccd4a;échantillon d'huile;
019a48e1-0f12-7a87-b781-1dfd98ecfe6b;Coupes de rail;
019a48e2-fc47-7998-b8ae-16dcf8847c76;machine outil;
019a48e7-6a9b-78b7-a0b7-7ea6a912066e;Pièce auto;
019a48ec-60b5-75ea-ac67-19129ade7057;meuble;
019a48ef-885b-7b15-aa38-ad6e14722b8e;Coffrets / livres pour enfant;
019a48fa-52a6-7e91-9c19-f2b68bec105b;velo;
019a48fc-e8e7-73f3-a850-376f8b184011;PORTE CAMION;
019a4900-1081-7f6e-b2b4-8170f92ca91e;Mobilier;
019a4900-6f9a-7832-89f8-2ed8ba9afb4b;BANC BOIS A MONTER;
019a4901-386a-7205-89f9-5d21787a7e56;Equipement électrique;
019a4903-4a2b-7468-9853-2cabcd3368d0;Bouteilles de Vins;ALCOOL
019a4903-71c3-7420-9846-7fca5e53ee11;Mobilier;
019a4903-f0d1-7e4f-8418-b68a1f94a1f3;Mobilier;
019a4904-0647-79e1-bc2d-5af8082969cc;Des ruches démontées;
019a4906-ac5c-7edc-a797-65c5155f725f;caisse en bois contenant des brosses;
019a490a-a1d6-7b41-ba09-b8dcdb967170;Prises électriques, cadres, Nespresso;
019a490b-8d9f-7fa6-8816-e3f8f3b2767b;electromenager;
019a490c-41d6-7113-b065-f816cd929d52;Livres;
019a490d-fd9c-7c58-9c8c-10ac1236e9f6;caisse en bois contenant des brosses;
019a4912-86a7-74db-a918-6fef2a48c664;Meuble;
019a4912-8fdd-7e90-866f-27b9b1e4f4d1;Auto laveuse;
019a4916-01ce-7099-90de-a6f8ffbbfdd5;AGENDA;
019a4918-e5e4-771d-b724-f6f8f3a9458e;Impressions;ALCOOL
019a4919-71af-7f23-850a-5ea6636ec194;Photograhie d'art;
019a4919-c777-777a-9500-72425f545564;agendas;
019a491a-ddb8-730d-83a5-5a50dea0148a;Roues;ALCOOL
019a491a-f9f7-71ec-8d88-ce68411aeabd;Robinetterie industrielle;
019a491b-fb93-7608-9bba-b0c1a68f2d4f;Pièce engin;
019a491c-19fd-7eb3-86ca-53d4ee378d8b;Packagings;
019a491c-2da7-71ba-9683-775eaae465c6;Fauteuil;
019a491d-4e74-77b8-ad25-d188c940b0fd;PETRIN A PATE;
019a4922-02cf-7d60-8720-50969f948503;Poele a bois;
019a4923-7d1e-7fc5-9ac9-e1ab311d751b;boite de vitesse;
019a4924-284e-77e1-8cf9-9e452b66e613;Gants d’hiver;
019a4927-016d-7dbf-a88a-0bce35d9c4d3;OUTIL INDUSTRIEL;
019a4927-ce41-7c79-a433-536047f533d5;OUTIL INDUSTRIEL;
019a4928-6c16-7969-a4c9-ef116582feeb;JOINTS ETANCHEITE;
019a4928-75d2-7595-99bf-5efc303030a9;JOINTS ETANCHEITE;
019a4929-6c4e-76a0-992c-978d6f5df1bb;piège nuisible;
019a492b-8052-7f26-850d-1439447900a4;MOTEUR;
019a492d-eb28-700d-af22-de54d2894e28;Exposition photographique;
019a4930-71ed-740e-979f-b45c201a089c;Exposition photographique;
019a4933-0ee7-71d8-84cd-06183a93bba9;Fauteuil de bureau en carton;
019a4935-0bc5-73f3-8a19-3a1716a8f21d;vélo de montagne;
019a4937-f485-7fe4-ab62-4d6c541610ed;OUTIL INDUSTRIEL;
019a4937-f545-7c20-b2ff-a8173d28cb72;cosmetique capillaire;
019a493b-00e5-770f-af60-c95bf831564b;Fleurs;
019a493d-57de-7f69-babe-508128c895c9;Cadres fragiles;
019a493d-8544-748f-af80-b8a3a3dd2898;ELECTROMENAGER;
019a493f-91dd-7c1b-85cd-0c7ad8e399d5;ELECTROMENAGER;
019a4942-a967-7abb-93db-97e32082e7ab;palette avec jantes voitures filmés;
019a4943-0c24-7e46-a4dd-3eb294cc0d99;pieces metallique;
